,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,0.89,2.01,2.87,4.61,7.99,12.41
gluon reweight,0.12,0.03,0.03,0.17,0.14,0.19
pdf weight,5.68,6.33,6.76,7.86,8.18,6.69
scale variation,3.79,4.1,3.03,3.74,3.45,4.5
matrix element,0.51,0.31,2.06,3.16,5.52,9.07
parton shower,21.35,22.15,22.96,24.15,25.2,30.55
hadronization,1.04,0.11,0.23,0.16,0.83,1.04
splitting kernel,4.37,1.1,1.45,1.32,0.15,1.15
statistical,0.1,0.1,0.21,0.47,0.98,2.74
tracking,1.55,1.52,1.55,1.54,1.33,1.32
JES/JER,0.36,0.31,0.21,0.2,0.34,0.38
Total Uncertainty,22.92,23.48,24.31,25.95,27.35,33.05
