,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,4.59,5.48,6.68,8.59,11.89,15.24
gluon reweight,0.2,0.17,0.06,0.23,0.77,1.43
pdf weight,5.22,5.74,6.14,6.98,7.17,6.13
scale variation,3.33,3.65,3.09,3.64,3.56,7.09
matrix element,0.58,0.14,1.8,3.03,4.78,8.3
parton shower,15.19,15.28,16.87,16.81,17.34,20.95
hadronization,1.52,0.75,0.68,0.67,0.63,0.32
splitting kernel,6.75,4.54,4.53,4.47,2.87,4.99
statistical,0.09,0.09,0.19,0.42,0.87,2.47
tracking,0.86,0.99,0.98,1.24,1.06,0.85
JES/JER,0.27,0.26,0.18,0.22,0.28,0.21
Total Uncertainty,17.84,17.38,18.9,19.39,19.97,25.09
