,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,2.32,3.1,4.09,6.03,8.18,10.12
gluon reweight,0.32,0.26,0.08,0.17,0.55,1.07
pdf weight,4.59,5.09,5.48,6.15,6.47,5.6
scale variation,2.16,2.13,1.72,1.72,1.67,4.87
matrix element,0.5,0.16,1.7,2.63,4.32,7.87
parton shower,11.19,11.55,13.21,12.88,13.67,17.06
hadronization,1.43,0.8,0.57,0.84,1.62,0.29
splitting kernel,4.52,2.72,2.7,2.93,0.72,3.71
statistical,0.08,0.08,0.17,0.39,0.8,2.26
tracking,0.77,0.87,1.05,1.04,1.02,0.69
JES/JER,0.22,0.12,0.13,0.12,0.26,0.35
Total Uncertainty,13.21,13.14,14.8,14.97,15.98,20.71
