,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,2.48,3.93,4.44,3.36,1.77,1.88
gluon reweight,0.19,0.14,0.07,0.02,0.03,0.04
pdf weight,8.71,9.8,11.6,12.18,11.7,9.97
scale variation,7.3,7.64,9.5,8.82,10.32,8.83
matrix element,4.67,5.2,4.95,4.81,4.54,3.84
parton shower,1.91,2.91,3.31,3.84,5.93,7.54
hadronization,6.28,5.06,4.49,3.85,3.35,3.26
splitting kernel,0.68,0.04,0.94,1.77,1.27,0.18
statistical,0.13,0.11,0.19,0.36,0.63,1.36
tracking,7.71,6.75,5.89,5.18,4.53,3.59
JES/JER,0.27,0.26,0.26,0.21,0.24,0.2
Total Uncertainty,15.94,16.16,17.78,17.58,18.25,16.57
