,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,1.3,1.95,2.77,4.62,6.3,9.0
gluon reweight,0.31,0.25,0.06,0.23,0.48,1.35
pdf weight,3.91,4.4,4.73,5.23,5.57,4.43
scale variation,1.34,1.41,1.13,1.03,1.2,2.93
matrix element,0.34,0.27,1.54,2.49,3.69,6.82
parton shower,9.03,8.36,9.5,9.83,9.73,12.6
hadronization,1.08,0.71,0.47,0.7,1.36,0.26
splitting kernel,3.06,1.69,1.62,1.93,0.02,2.38
statistical,0.07,0.07,0.15,0.35,0.74,2.07
tracking,0.71,0.84,1.04,1.0,0.97,0.74
JES/JER,0.19,0.1,0.11,0.09,0.18,0.27
Total Uncertainty,10.48,9.77,10.97,11.69,12.01,15.68
