,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,3.14,3.99,4.37,3.51,2.38,0.71
gluon reweight,0.18,0.13,0.07,0.0,0.0,0.01
pdf weight,7.86,8.89,10.56,11.17,10.52,8.1
scale variation,5.53,5.77,7.39,6.87,7.1,6.47
matrix element,4.08,4.55,4.34,4.23,3.71,2.96
parton shower,1.52,1.82,2.45,3.35,3.94,5.13
hadronization,4.94,3.62,3.51,3.04,2.54,2.21
splitting kernel,0.96,0.48,1.22,2.02,1.71,0.39
statistical,0.12,0.1,0.16,0.32,0.53,1.12
tracking,7.45,6.3,5.46,4.73,3.94,3.29
JES/JER,0.24,0.25,0.25,0.21,0.2,0.13
Total Uncertainty,13.87,13.76,15.32,15.39,14.68,12.64
