,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,0.12,1.71,2.67,2.18,1.46,1.1
gluon reweight,0.46,0.5,0.38,0.31,0.09,0.06
pdf weight,7.78,8.54,9.93,10.54,9.98,8.05
scale variation,5.77,6.26,7.66,7.54,8.12,6.32
matrix element,3.96,4.43,3.92,3.68,3.28,2.41
parton shower,0.75,1.15,2.26,2.84,3.59,3.98
hadronization,4.8,3.94,3.76,3.5,2.97,2.77
splitting kernel,1.01,1.19,1.33,1.6,1.46,0.18
statistical,0.12,0.1,0.16,0.3,0.52,1.1
tracking,5.66,5.3,4.82,4.61,3.98,3.5
JES/JER,0.18,0.18,0.2,0.2,0.2,0.18
Total Uncertainty,12.9,13.36,14.73,15.03,14.71,12.15
