,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,0.8,2.56,3.78,5.79,10.35,14.69
gluon reweight,0.17,0.09,0.01,0.08,0.08,0.16
pdf weight,6.48,6.97,7.39,8.92,9.05,7.56
scale variation,6.6,6.58,5.42,6.53,6.62,4.88
matrix element,0.69,0.35,2.31,3.9,6.52,10.7
parton shower,32.33,31.35,32.69,36.55,37.25,44.61
hadronization,0.69,0.03,0.22,0.06,0.35,1.45
splitting kernel,6.59,1.91,2.38,3.01,1.26,2.48
statistical,0.13,0.12,0.24,0.57,1.14,3.08
tracking,1.06,1.01,1.08,1.09,0.76,0.5
JES/JER,0.52,0.45,0.4,0.32,0.53,0.47
Total Uncertainty,34.3,32.86,34.13,38.52,39.49,46.94
