,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,3.23,3.63,3.81,3.06,1.83,0.83
gluon reweight,0.12,0.09,0.05,0.0,0.01,0.0
pdf weight,6.37,7.25,8.71,8.73,8.18,6.41
scale variation,3.45,3.8,5.18,4.36,4.48,5.16
matrix element,3.11,3.5,3.39,2.96,2.53,1.91
parton shower,1.34,0.62,1.56,1.49,2.01,3.18
hadronization,3.2,2.46,2.4,2.0,1.86,1.51
splitting kernel,0.91,0.73,1.37,1.8,1.58,0.53
statistical,0.1,0.08,0.14,0.25,0.43,0.89
tracking,6.43,5.34,4.59,3.79,3.05,2.48
JES/JER,0.21,0.2,0.19,0.21,0.14,0.13
Total Uncertainty,10.79,10.71,12.06,11.31,10.62,9.54
