,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,1.01,1.72,2.4,4.24,7.36,8.02
gluon reweight,0.06,0.03,0.09,0.23,0.23,0.07
pdf weight,4.97,5.68,6.13,7.05,6.92,6.22
scale variation,2.38,2.65,1.91,2.1,1.54,2.93
matrix element,0.38,0.35,1.9,2.96,4.78,8.18
parton shower,15.16,16.53,16.89,17.42,16.62,21.25
hadronization,1.1,0.56,0.4,0.54,0.89,0.33
splitting kernel,3.37,0.79,0.95,1.13,0.28,1.52
statistical,0.09,0.09,0.19,0.44,0.87,2.53
tracking,1.55,1.64,1.66,1.69,1.61,0.95
JES/JER,0.29,0.22,0.16,0.18,0.34,0.4
Total Uncertainty,16.6,17.79,18.28,19.26,18.81,23.99
