,500-600,600-800,800-1000,1000-1200,1200-1500,1500-2000
MC nonclosure,0.12,1.45,2.33,2.01,1.44,0.71
gluon reweight,0.45,0.48,0.37,0.32,0.15,0.07
pdf weight,6.64,7.33,8.48,8.94,8.06,6.43
scale variation,4.25,4.71,5.87,5.87,5.24,5.02
matrix element,3.35,3.64,3.23,2.86,2.23,1.69
parton shower,0.54,0.57,1.77,1.92,2.25,3.39
hadronization,3.61,2.92,2.6,2.43,1.96,2.1
splitting kernel,1.06,1.26,1.66,1.73,1.58,0.18
statistical,0.1,0.08,0.14,0.26,0.42,0.9
tracking,5.74,5.04,4.53,4.07,3.42,2.91
JES/JER,0.18,0.18,0.19,0.19,0.15,0.15
Total Uncertainty,11.0,11.19,12.25,12.33,10.99,9.73
